0,0,0,0.4875,0.461538461538,0.769230769231,0.4375,0.5,0.625,0.346153846154,0.666666666667,0.666666666667,0.388888888889,0.166666666667,0.384615384615,0.692307692308,0.545454545455,0.714285714286,0.411764705882,0.25,0.47619047619,0.461538461538,9,15,18,12,13,13,6,0,0,0,0,3,1,10,0,0,2,2,3,1,7,2,0,5,0,1,7,2,0,2,2,1,0,0,5,5,1,0,2,0,1,9
0,0,1,0.35,0.8,0.666666666667,0.266666666667,0.0,1.0,0.217391304348,0.5,0.615384615385,0.222222222222,0.0,0.25,0.526315789474,0.615384615385,0.64,0.242424242424,0.0,0.4,0.307692307692,8,13,18,14,8,19,4,1,0,0,0,3,0,8,1,0,0,4,0,0,4,0,0,14,0,1,3,0,0,10,1,0,0,0,2,5,0,2,7,0,0,10
0,0,2,0.7125,0.866666666667,1.0,0.578947368421,0.428571428571,0.75,0.769230769231,0.8125,0.785714285714,0.647058823529,0.461538461538,0.857142857143,0.769230769231,0.838709677419,0.88,0.611111111111,0.444444444444,0.8,0.769230769231,16,14,17,13,7,13,13,0,0,2,0,1,0,11,0,0,2,1,1,0,11,5,0,0,0,0,6,6,0,1,1,0,0,0,6,0,0,0,2,1,0,10
0,0,3,0.4375,0.888888888889,1.0,0.313725490196,0.0,0.666666666667,0.25,0.727272727273,0.615384615385,0.842105263158,0.0,0.2,0.0666666666667,0.8,0.761904761905,0.457142857143,0.0,0.307692307692,0.105263157895,11,13,19,12,10,15,8,0,2,0,1,0,1,8,1,1,0,2,0,0,16,3,0,0,0,0,12,0,0,0,0,0,7,0,2,1,0,0,13,1,0,1
0,1,0,0.8125,1.0,0.933333333333,0.7,0.333333333333,0.875,0.941176470588,0.916666666667,1.0,0.666666666667,0.375,1.0,0.888888888889,0.95652173913,0.965517241379,0.682926829268,0.352941176471,0.933333333333,0.914285714286,12,14,21,8,7,18,11,0,0,0,1,0,0,14,0,0,0,0,0,0,14,6,0,1,0,0,5,3,0,0,0,0,0,0,7,0,0,1,1,0,0,16
0,1,1,0.7375,0.866666666667,0.866666666667,0.5,0.0,1.0,0.909090909091,1.0,0.928571428571,0.941176470588,0.0,0.875,0.526315789474,0.928571428571,0.896551724138,0.65306122449,0.0,0.933333333333,0.666666666667,13,14,17,9,8,19,13,0,0,0,0,0,0,13,0,0,0,1,0,1,16,0,0,0,0,0,9,0,0,0,1,0,0,0,7,0,1,1,7,0,0,10
0,1,2,0.925,1.0,0.882352941176,1.0,0.75,1.0,0.882352941176,1.0,1.0,0.863636363636,1.0,0.875,0.882352941176,1.0,0.9375,0.926829268293,0.857142857143,0.933333333333,0.882352941176,12,15,22,6,8,17,12,0,0,0,0,0,0,15,0,0,0,0,0,0,19,1,0,2,0,0,0,6,0,0,0,1,0,0,7,0,0,1,0,1,0,15
0,1,3,0.7625,1.0,0.9,0.576923076923,1.0,0.9,0.7,1.0,0.642857142857,0.882352941176,0.0909090909091,1.0,0.875,1.0,0.75,0.697674418605,0.166666666667,0.947368421053,0.777777777778,13,14,17,11,9,16,13,0,0,0,0,0,0,9,0,0,1,4,0,0,15,0,0,2,0,1,9,1,0,0,0,0,0,0,9,0,0,0,2,0,0,14
0,2,0,0.875,0.5,0.933333333333,0.866666666667,0.888888888889,1.0,1.0,1.0,0.777777777778,0.928571428571,0.666666666667,0.916666666667,1.0,0.666666666667,0.848484848485,0.896551724138,0.761904761905,0.95652173913,1.0,6,18,14,12,12,18,6,0,0,0,0,0,3,14,0,1,0,0,1,0,13,0,0,0,2,0,2,8,0,0,0,1,0,0,11,0,0,0,0,0,0,18
0,2,1,0.5625,0.235294117647,0.846153846154,0.454545454545,0.0,0.714285714286,0.714285714286,0.571428571429,0.611111111111,0.714285714286,0.0,0.833333333333,0.9375,0.333333333333,0.709677419355,0.555555555556,0.0,0.769230769231,0.810810810811,7,18,14,19,6,16,4,0,2,0,0,1,3,11,0,0,2,2,1,0,10,0,0,3,9,0,10,0,0,0,0,1,0,0,5,0,0,1,0,0,0,15
0,2,2,0.8375,1.0,0.785714285714,0.8,0.428571428571,1.0,0.869565217391,0.692307692308,0.733333333333,0.857142857143,0.6,1.0,0.952380952381,0.818181818182,0.758620689655,0.827586206897,0.5,1.0,0.909090909091,13,15,14,5,12,21,9,0,2,1,0,1,0,11,1,2,0,1,0,0,12,1,0,1,0,2,0,3,0,0,0,0,0,0,12,0,0,1,0,0,0,20
0,2,3,0.525,0.636363636364,0.4,0.222222222222,0.4,0.636363636364,0.857142857143,0.636363636364,0.461538461538,0.125,0.615384615385,0.583333333333,0.8,0.636363636364,0.428571428571,0.16,0.484848484848,0.608695652174,0.827586206897,11,13,16,13,12,15,7,0,1,2,0,1,0,6,2,1,4,0,0,4,2,9,0,1,3,0,2,8,0,0,0,4,1,0,7,0,1,1,1,0,0,12
1,0,0,0.8125,0.636363636364,0.666666666667,0.869565217391,1.0,1.0,0.875,0.7,0.8,1.0,0.571428571429,0.8,0.875,0.666666666667,0.727272727273,0.93023255814,0.727272727273,0.888888888889,0.875,10,15,20,14,5,16,7,1,0,0,0,2,2,12,1,0,0,0,0,0,20,0,0,0,2,2,2,8,0,0,0,1,0,0,4,0,0,2,0,0,0,14
1,0,1,0.775,0.555555555556,0.733333333333,1.0,0.736842105263,1.0,0.782608695652,0.5,0.6875,0.769230769231,0.933333333333,0.5,1.0,0.526315789474,0.709677419355,0.869565217391,0.823529411765,0.666666666667,0.878048780488,10,16,13,15,8,18,5,0,0,1,0,4,2,11,0,2,0,1,0,1,10,2,0,0,0,1,0,14,0,0,2,2,0,0,4,0,0,0,0,0,0,18
1,0,2,0.675,0.625,0.533333333333,0.8,0.714285714286,0.666666666667,0.722222222222,0.909090909091,0.615384615385,0.923076923077,0.416666666667,0.6,0.619047619048,0.740740740741,0.571428571429,0.857142857143,0.526315789474,0.631578947368,0.666666666667,11,13,13,12,10,21,10,0,0,0,0,1,1,8,1,1,0,2,0,0,12,1,0,0,3,2,2,5,0,0,0,2,0,0,6,2,2,3,0,0,3,13
1,0,3,0.8125,0.857142857143,0.666666666667,1.0,0.785714285714,0.727272727273,0.809523809524,0.545454545455,0.8,0.9375,0.846153846154,0.8,0.85,0.666666666667,0.727272727273,0.967741935484,0.814814814815,0.761904761905,0.829268292683,11,10,16,13,10,20,6,0,0,2,0,3,0,8,0,0,2,0,0,0,15,1,0,0,0,2,0,11,0,0,1,0,0,0,8,1,0,2,0,0,1,17
0,0,0,0.6375,0.888888888889,0.6,0.294117647059,0.375,1.0,0.8125,0.727272727273,0.857142857143,0.5,0.272727272727,0.833333333333,0.590909090909,0.8,0.705882352941,0.37037037037,0.315789473684,0.909090909091,0.684210526316,11,14,10,11,12,22,8,0,1,0,0,2,0,12,1,0,0,1,0,2,5,3,0,0,0,1,7,3,0,0,0,2,0,0,10,0,1,3,3,2,0,13
0,0,1,0.6375,0.777777777778,0.923076923077,0.521739130435,0.5,1.0,0.52380952381,0.777777777778,0.75,0.705882352941,0.5,0.363636363636,0.647058823529,0.777777777778,0.827586206897,0.6,0.5,0.533333333333,0.578947368421,9,16,17,10,11,17,7,0,0,0,0,2,1,12,1,1,0,1,0,1,12,3,0,1,0,0,5,5,0,0,1,0,0,0,4,6,0,0,5,1,0,11
0,0,2,0.675,0.571428571429,0.916666666667,0.545454545455,0.555555555556,0.777777777778,0.68,0.8,0.55,0.461538461538,0.5,0.875,0.894736842105,0.666666666667,0.6875,0.5,0.526315789474,0.823529411765,0.772727272727,10,20,13,10,8,19,8,0,1,0,0,1,4,11,0,0,2,3,0,0,6,4,0,3,0,1,4,5,0,0,0,0,0,0,7,1,2,0,0,0,0,17
0,0,3,0.5125,0.619047619048,0.714285714286,0.46875,0.0,0.4,0.4,0.65,0.294117647059,0.9375,0.0,0.666666666667,0.4,0.634146341463,0.416666666667,0.625,0.0,0.5,0.4,20,17,16,9,3,15,13,1,6,0,0,0,3,5,0,0,2,7,0,0,15,0,0,1,1,1,7,0,0,0,0,0,0,0,2,1,4,0,4,0,1,6
0,1,0,0.7125,0.9,0.916666666667,0.379310344828,0.8,1.0,0.875,0.9,1.0,0.916666666667,0.25,0.8,0.666666666667,0.9,0.95652173913,0.536585365854,0.380952380952,0.888888888889,0.756756756757,10,11,12,16,10,21,9,0,0,0,0,1,0,11,0,0,0,0,0,0,11,1,0,0,0,0,12,4,0,0,1,0,0,0,8,1,0,1,6,0,0,14
0,1,1,0.7125,0.764705882353,1.0,0.538461538462,0.0,1.0,0.611111111111,1.0,0.6,0.933333333333,0.0,0.777777777778,0.916666666667,0.866666666667,0.75,0.682926829268,0.0,0.875,0.733333333333,13,20,15,11,9,12,13,0,0,0,0,0,2,12,0,0,0,6,0,0,14,0,0,1,0,0,11,0,0,0,2,0,0,0,7,0,0,0,1,0,0,11
0,1,2,0.7125,0.857142857143,0.857142857143,0.5,0.5,1.0,0.75,1.0,0.923076923077,0.529411764706,0.428571428571,0.75,0.75,0.923076923077,0.888888888889,0.514285714286,0.461538461538,0.857142857143,0.75,12,13,17,14,8,16,12,0,0,0,0,0,0,12,0,0,0,1,0,0,9,6,0,2,0,0,7,6,0,1,2,0,0,0,6,0,0,2,2,0,0,12
0,1,3,0.775,1.0,1.0,0.607142857143,0.0,0.583333333333,0.894736842105,0.785714285714,0.714285714286,1.0,0.0,1.0,0.809523809524,0.88,0.833333333333,0.755555555556,0.0,0.736842105263,0.85,14,14,17,7,7,21,11,0,0,0,3,0,0,10,0,0,2,2,0,0,17,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,4,0,0,17
0,2,0,0.8875,0.909090909091,0.8,0.857142857143,0.909090909091,0.916666666667,0.941176470588,0.909090909091,0.8,0.923076923077,0.769230769231,1.0,0.941176470588,0.909090909091,0.8,0.888888888889,0.833333333333,0.95652173913,0.941176470588,11,15,13,13,11,17,10,1,0,0,0,0,0,12,0,1,1,1,1,0,12,0,0,0,0,1,2,10,0,0,0,0,0,0,11,0,0,1,0,0,0,16
0,2,1,0.675,0.5,0.529411764706,0.590909090909,0.5,1.0,0.947368421053,0.6,0.75,0.8125,0.153846153846,0.666666666667,0.9,0.545454545455,0.620689655172,0.684210526316,0.235294117647,0.8,0.923076923077,10,12,16,13,9,20,6,3,0,1,0,0,1,9,1,0,0,1,2,0,13,1,0,0,3,1,7,2,0,0,0,3,0,0,6,0,0,1,1,0,0,18
0,2,2,0.825,0.916666666667,0.714285714286,0.785714285714,0.75,1.0,0.882352941176,0.6875,0.833333333333,0.785714285714,0.923076923077,0.777777777778,0.9375,0.785714285714,0.769230769231,0.785714285714,0.827586206897,0.875,0.909090909091,16,12,14,13,9,16,11,0,2,1,0,2,0,10,1,1,0,0,1,0,11,2,0,0,0,1,0,12,0,0,0,2,0,0,7,0,0,1,0,0,0,15
0,2,3,0.5625,0.722222222222,0.5,0.666666666667,0.333333333333,0.333333333333,0.777777777778,0.928571428571,0.25,0.25,0.6,0.666666666667,0.777777777778,0.8125,0.333333333333,0.363636363636,0.428571428571,0.444444444444,0.777777777778,14,16,16,10,6,18,13,0,0,1,0,0,1,4,0,3,7,1,0,1,4,8,0,3,4,0,0,6,0,0,0,2,0,0,4,0,0,1,2,0,1,14
1,0,0,0.85,0.777777777778,0.75,1.0,0.818181818182,0.818181818182,1.0,1.0,0.857142857143,0.916666666667,0.818181818182,0.9,0.684210526316,0.875,0.8,0.95652173913,0.818181818182,0.857142857143,0.8125,14,14,12,11,10,19,14,0,0,0,0,0,0,12,0,2,0,0,0,1,11,0,0,0,1,1,0,9,0,0,0,1,0,0,9,0,3,1,0,0,2,13
1,0,1,0.675,0.642857142857,0.357142857143,1.0,0.555555555556,1.0,0.777777777778,0.75,0.333333333333,0.923076923077,0.625,0.444444444444,0.933333333333,0.692307692308,0.344827586207,0.96,0.588235294118,0.615384615385,0.848484848485,12,15,13,16,9,15,9,2,0,0,0,1,3,5,0,7,0,0,0,0,12,1,0,0,2,4,0,10,0,0,0,2,0,0,4,3,0,1,0,0,0,14
1,0,2,0.7375,0.818181818182,0.75,0.916666666667,0.666666666667,0.888888888889,0.529411764706,0.818181818182,0.571428571429,0.916666666667,0.909090909091,0.666666666667,0.692307692308,0.818181818182,0.648648648649,0.916666666667,0.769230769231,0.761904761905,0.6,11,21,12,11,12,13,9,0,0,0,0,2,1,12,0,4,0,4,0,0,11,1,0,0,0,0,1,10,0,0,0,2,0,0,8,2,1,2,0,0,1,9
1,0,3,0.7,0.6,0.6875,1.0,0.733333333333,0.6,0.625,0.3,0.6875,0.769230769231,0.6875,0.857142857143,0.833333333333,0.4,0.6875,0.869565217391,0.709677419355,0.705882352941,0.714285714286,10,16,13,16,7,18,3,1,0,0,0,6,0,11,0,1,1,3,0,0,10,3,0,0,1,4,0,11,0,0,1,0,0,0,6,0,0,0,0,0,3,15
1,1,0,0.8,0.727272727273,0.933333333333,0.619047619048,0.777777777778,1.0,0.882352941176,1.0,0.933333333333,0.866666666667,0.466666666667,0.777777777778,0.833333333333,0.842105263158,0.933333333333,0.722222222222,0.583333333333,0.875,0.857142857143,8,15,15,15,9,18,8,0,0,0,0,0,0,14,1,0,0,0,0,0,13,2,0,0,0,0,7,7,0,1,1,0,0,0,7,1,2,1,0,0,0,15
1,1,1,0.8625,0.7,0.882352941176,0.85,1.0,0.75,0.909090909091,1.0,0.882352941176,0.894736842105,0.736842105263,0.857142857143,0.909090909091,0.823529411765,0.882352941176,0.871794871795,0.848484848485,0.8,0.909090909091,7,17,19,19,7,11,7,0,0,0,0,0,1,15,0,0,1,0,0,2,17,0,0,0,2,0,3,14,0,0,0,0,0,0,6,1,0,0,0,0,1,10
1,1,2,0.8875,0.866666666667,0.941176470588,0.714285714286,0.916666666667,0.888888888889,1.0,1.0,0.842105263158,1.0,0.6875,0.888888888889,1.0,0.928571428571,0.888888888889,0.833333333333,0.785714285714,0.888888888889,1.0,13,19,10,16,9,13,13,0,0,0,0,0,0,16,1,1,1,0,0,0,10,0,0,0,2,0,3,11,0,0,0,1,0,0,8,0,0,0,0,0,0,13
1,1,3,0.75,0.8,0.857142857143,0.866666666667,0.615384615385,0.666666666667,0.708333333333,0.571428571429,0.923076923077,0.684210526316,0.666666666667,0.6,0.894736842105,0.666666666667,0.888888888889,0.764705882353,0.64,0.631578947368,0.790697674419,7,13,19,12,10,19,4,0,0,0,2,1,0,12,0,0,0,1,0,1,13,5,0,0,0,0,2,8,0,2,1,0,0,0,6,3,0,1,0,0,1,17
1,2,0,0.675,0.692307692308,0.611111111111,0.48,0.6,1.0,1.0,0.692307692308,0.916666666667,0.631578947368,0.1875,1.0,0.916666666667,0.692307692308,0.733333333333,0.545454545455,0.285714285714,1.0,0.95652173913,13,12,19,16,8,12,9,2,2,0,0,0,0,11,1,0,0,0,1,4,12,2,0,0,3,0,10,3,0,0,0,0,0,0,8,0,0,1,0,0,0,11
1,2,1,0.6625,1.0,1.0,0.441860465116,0.0,0.75,1.0,0.0909090909091,0.625,1.0,0.0,1.0,1.0,0.166666666667,0.769230769231,0.612903225806,0.0,0.857142857143,1.0,11,16,19,11,9,14,1,0,10,0,0,0,0,10,3,0,3,0,0,0,19,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,14
1,2,2,0.675,0.4,0.55,0.461538461538,0.428571428571,1.0,1.0,0.444444444444,1.0,0.5,0.1875,0.909090909091,0.952380952381,0.421052631579,0.709677419355,0.48,0.260869565217,0.952380952381,0.975609756098,9,11,12,16,11,21,4,3,0,2,0,0,0,11,0,0,0,0,2,2,6,2,0,0,4,2,7,3,0,0,0,1,0,0,10,0,0,1,0,0,0,20
1,2,3,0.6625,0.526315789474,0.9,0.5,0.333333333333,0.777777777778,1.0,0.769230769231,0.642857142857,0.722222222222,0.0666666666667,1.0,1.0,0.625,0.75,0.590909090909,0.111111111111,0.875,1.0,13,14,18,15,7,13,10,0,3,0,0,0,1,9,1,1,2,0,4,0,13,1,0,0,4,1,9,1,0,0,0,0,0,0,7,0,0,0,0,0,0,13
2,0,0,0.925,0.928571428571,0.8125,1.0,0.923076923077,0.875,1.0,0.928571428571,0.866666666667,0.933333333333,0.923076923077,1.0,0.9375,0.928571428571,0.838709677419,0.965517241379,0.923076923077,0.933333333333,0.967741935484,14,15,15,13,7,16,13,1,0,0,0,0,0,13,0,1,1,0,1,0,14,0,0,0,0,1,0,12,0,0,0,0,0,0,7,0,0,1,0,0,0,15
2,0,1,0.8,0.777777777778,0.666666666667,1.0,0.555555555556,1.0,0.928571428571,0.636363636364,0.833333333333,0.772727272727,1.0,1.0,0.722222222222,0.7,0.740740740741,0.871794871795,0.714285714286,1.0,0.8125,11,12,22,10,7,18,7,0,0,4,0,0,0,10,0,2,0,0,2,0,17,2,0,1,0,0,0,10,0,0,0,0,0,0,7,0,0,5,0,0,0,13
2,0,2,0.9,1.0,0.789473684211,0.75,0.928571428571,1.0,1.0,0.923076923077,0.882352941176,0.9,0.8125,0.875,1.0,0.96,0.833333333333,0.818181818182,0.866666666667,0.933333333333,1.0,13,17,10,16,8,16,12,1,0,0,0,0,0,15,1,1,0,0,0,1,9,0,0,0,0,1,2,13,0,0,0,1,0,0,7,0,0,0,0,0,0,16
2,0,3,0.7875,0.6,0.571428571429,1.0,0.75,0.909090909091,1.0,0.9,0.705882352941,0.761904761905,0.5,1.0,0.8125,0.72,0.631578947368,0.864864864865,0.6,0.952380952381,0.896551724138,10,17,21,6,10,16,9,1,0,0,0,0,3,12,0,1,1,0,1,4,16,0,0,0,2,1,0,3,0,0,0,0,0,0,10,0,0,3,0,0,0,13
2,1,0,0.9,1.0,0.882352941176,0.866666666667,1.0,0.8,0.894736842105,1.0,0.9375,0.928571428571,1.0,0.888888888889,0.772727272727,1.0,0.909090909091,0.896551724138,1.0,0.842105263158,0.829268292683,8,16,14,11,9,22,8,0,0,0,0,0,0,15,0,0,0,1,0,1,13,0,0,0,0,0,0,11,0,0,0,0,0,0,8,1,0,1,2,0,2,17
2,1,1,0.7625,0.666666666667,0.6875,1.0,1.0,0.6,0.631578947368,0.769230769231,0.733333333333,0.933333333333,0.846153846154,0.375,0.75,0.714285714286,0.709677419355,0.965517241379,0.916666666667,0.461538461538,0.685714285714,13,15,15,13,8,16,10,0,0,0,2,1,3,11,0,0,0,1,0,1,14,0,0,0,0,0,0,11,0,2,2,0,0,0,3,3,0,4,0,0,0,12
2,1,2,0.775,0.933333333333,0.823529411765,0.636363636364,0.714285714286,0.714285714286,0.75,0.933333333333,0.7,0.875,0.769230769231,0.833333333333,0.666666666667,0.933333333333,0.756756756757,0.736842105263,0.740740740741,0.769230769231,0.705882352941,15,20,8,13,6,18,14,0,0,0,1,0,0,14,2,2,1,1,0,0,7,0,0,1,0,1,0,10,0,2,1,0,0,0,5,0,0,2,2,2,0,12
2,1,3,0.7,0.722222222222,0.666666666667,1.0,0.8,0.444444444444,0.666666666667,0.8125,0.923076923077,0.866666666667,0.727272727273,0.666666666667,0.153846153846,0.764705882353,0.774193548387,0.928571428571,0.761904761905,0.533333333333,0.25,16,13,15,11,12,13,13,0,0,0,3,0,1,12,0,0,0,0,0,2,13,0,0,0,0,2,0,8,1,0,3,0,0,0,8,1,1,2,0,2,6,2
2,2,0,0.9,0.928571428571,0.9375,1.0,0.615384615385,1.0,0.9375,1.0,0.714285714286,0.933333333333,0.888888888889,1.0,1.0,0.962962962963,0.810810810811,0.965517241379,0.727272727273,1.0,0.967741935484,13,21,15,9,7,15,13,0,0,0,0,0,0,15,0,5,0,1,1,0,14,0,0,0,0,1,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,15
2,2,1,0.675,0.555555555556,0.666666666667,0.933333333333,0.529411764706,0.8,0.692307692308,0.666666666667,0.470588235294,0.875,0.818181818182,1.0,0.529411764706,0.606060606061,0.551724137931,0.903225806452,0.642857142857,0.888888888889,0.6,15,17,16,11,4,17,10,0,0,5,0,0,3,8,0,1,1,4,0,0,14,2,0,0,1,0,1,9,0,0,0,0,0,0,4,0,4,4,0,0,0,9
2,2,2,0.85,0.875,0.846153846154,0.8,0.857142857143,0.769230769231,0.941176470588,0.636363636364,0.647058823529,0.923076923077,1.0,1.0,0.941176470588,0.736842105263,0.733333333333,0.857142857143,0.923076923077,0.869565217391,0.941176470588,11,17,13,12,10,17,7,1,2,1,0,0,0,11,1,1,3,1,1,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,10,0,0,1,0,0,0,16
